Views,reposted,Title_without_emoji,PYQ_Text_without_emoji,QuantileLabel
1570,0,【CSSA迎新会】2021全新启航，遇见每一个最“牛”的你！,2021semester1迎新会即将到来啦～想认识新朋友，了解学生会，一起云逛校园吗？迎新会通通满足你，快找CSSA小助手报名参加吧！,0.9067796610169492
711,0,【CSSA 3.4号线上Oweek】2021第一场大爬梯：点击解锁你的大学生活！,想了解更多CSSA活动和福利，加入CSSA大家庭吗？3月4日墨尔本时间12-2点，我们在Hopin等你来！偷偷告诉你，还有精彩表演和抽奖福利哦～,0.4915254237288136
807,1,【CSSA折扣商家】小黑卡福利，出示小黑卡酸奶免费领！,拿CSSA会员小黑卡就能免费拿一杯酸奶这个羊毛不薅，更待何时。CSSA联合一杯酸牛奶为了让大家新学期有一个fresh start从今日起到3月11日，只要出示小黑卡，就可以免费到门店另一杯清爽的原味酸奶拿上小黑卡就冲吧！,0.5805084745762712
793,2,【CSSA福利宣讲会】福利招聘宣讲会开始报名啦！求职萌新速戳！,CSSA福利招聘宣讲会  ，第一期我们邀请了斩获大厂offer 的Janet学姐，来为我们介绍简历和面试的种种小tips，大家可千万不能错过啦！,0.565677966101695
689,1,【CSSA推荐】疫情下的澳大利亚&英国研究生申请 “新攻略”,"【CSSA推荐】新东方英国研究生申请 澳洲本科学历如何申请英国研究生？ 申请剑桥牛津,G5院校需具备哪些条件？ 通过英国一年研究生拿到3年签证 赶紧报名我们的讲座吧",0.4788135593220339
1429,0,【CSSA线上交友活动】再不来，没准真找不到朋友了！,还怕找不到新朋友吗墨尔本交朋友的新方法都在这里，快点开推文找到那个ta吧,0.8813559322033898
1101,0,【CSSA摄影大赛开始投票】用镜头留住有意义的瞬间，快来Pick自己喜爱的作品吧~,摄影大赛投票通道正式开启 照片叙说故事，记忆得以永存 文末pick你喜欢作品吧 边听歌边看吧,0.7627118644067796
834,0,【CSSA桌游活动】拼智商，飙演技的时候到啦！,Easter假期担心太无聊？周六CSSA约你组局啦狼人杀阿瓦隆剧本杀，三个愿望一次满足[NoProb][NoProb]墨尔本的朋友还可以线下碰面哦，快点击推文报名参加吧,0.6207627118644068
811,1,【CSSA福利宣讲会】互联网求职指南，鹅厂学姐来帮忙 （内含鹅厂内推码）,想知道你和鹅厂距离还有多远吗？想要和鹅厂产品策划来个0距离互动吗？ 4.6日晚中国7点，墨尔本9点，扫描二维码报名参加宣讲会，即可与腾讯墨大校园大使来场线上约会[Wow],0.586864406779661
762,1,【CSSA 情绪发泄所】 | 你有多余的坏情绪吗？快来茶话会吧！,你是否在被期中考试压力和实习压力压的喘不过气？你是否在为情感和家庭中的问题所困扰？ 快点击推文匿名投稿诉说你的烦恼吧！！ Week6茶话会——情绪发泄所周六与你不见不散,0.538135593220339
878,0,【CSGO电竞比赛】激情5E，Rush B｜首届CSGO电竞比赛，等你来战,激情反恐，rush B！想和其他澳洲留学生玩家一决高下吗？想体验在a包b包残局1v5吗？快来参加cssa首届csgo冠军赛！和你的队友在顶峰相见！,0.6567796610169492
587,0,【CSSA 招聘】宝洁IT六大类全职岗位春招等你,世界五百强，宝洁信息技术部春招正式开始!,0.3474576271186441
421,0,【CSSA知识竞赛】 究竟谁能牛转乾坤？校园版一站到底—2021S1 DBC冠名Knowledge High知识竞赛，不服来战！,DBC冠名CSSA知识大赛今日开赛！团体，个人，各式各样的I/EQ挑战等你来！/:jj在这里，知识最大！/:@@ 第一赛段线上答题今日正式开放，开放时间：11号14:00～18号20:00（墨尔本时间）,0.19491525423728814
424,0,【CSSA宣讲会回顾】腾讯校园大使拍了拍你，并给了你一份入鹅厂攻略！,本次CSSA x腾讯福利宣讲会正式结束啦！没来得及参加的小伙伴点击查看【鹅厂/:jump简历模版】！,0.19915254237288135
746,0,【CSSA独家福利】85折Get唐人街网红融合菜！可爱到犯规的水獭奶茶送不停！,真香警告来啦 还在问“嘿，Siri，今天吃啥”吗？ 点开这篇“美食指南”，照着吃就完事！ 85折/免费甜品/买一送一哦！ ——————— 转发pyq无分组1hr 立享CSSA专属福利,0.5296610169491526
768,0,【CSSA 线下Oweek】Oweek来袭，望穿秋水等来意想不到的惊喜！,震惊没参加过线下oweek的人居然都……拿不到CSSA准备的超多福利4月20号12点Uni Plaza，快来找我们一起玩耍吧,0.5466101694915254
483,1,【CSSA知识竞赛决赛】 决赛来了！到底谁是本届DBC Knowledge High的知识大王？,DBC冠名CSSA知识竞赛决赛明日来袭！ 新奇赛制，全新题库，刺激争夺最后席位！想一睹选手们脑力比拼，神仙打架么 周六北京时间下午两点Zoom直播间等你围观哦/:jj,0.2627118644067797
249,0,【CSSA祝福】五一劳动节|致敬所有最美劳动者,一声“谢谢”说不尽心底的感动，一声“安好”祝所有的劳动者万事顺遂！同时，CSSA也在此提醒大家：①出行先做准备；②坚持个人防护；③注意饮食卫生；④关注天气变化；⑤预防媒传疾病。,0.05084745762711865
1274,1,【CSSA期末打卡活动】99%的墨大留学生final都会参加的活动竟然是…,你是否还在为找不到学习组织而困惑？ 或是还在Final的压力下生活没有规律？ 快来加入CSSA学习生活打卡活动吧/:jj 来一起寻找相同目标的小伙伴们～ 我们不见不散[Wow],0.8389830508474576
560,0,【CSSA五月折扣商家】 快来领取小黑卡母亲节暖心福利，10% off超值鲜花折扣！,我们的小小心愿，都会让她大动干戈，我们送的任何礼物，都会让她开心的像个孩子[Party] 这个人就是我们的母亲 她的节日到了，用一束花让她做全宇宙最快乐的人！ 5月份的折扣商家来了，快来看看有什么新优惠吧！,0.3199152542372881
1147,0,【CSSA研究所】墨大七之最竟是它们？一起来揭开CSSA内部人员的神秘面纱！,墨大最隐秘的角落竟然是这里？想在学校清净学习的小伙伴们速戳,0.7838983050847458
1409,0,【CSSA推荐】墨大学霸学长传授“开挂”经验，进入大厂竟是分分钟的事！还有5款必须马住的高效学习工具，保证让你爱不释手~,商科生必 想进四大必 还有好几款超好用提高学习效率的宝藏app安利给各位赶due人们[GoForIt][GoForIt][GoForIt],0.8771186440677966
2377,0,【CSSA推荐】澳洲4年拿PR VS 上海直接落户，哪种人现在过得更好？,政策天天变，到底要回国北上还是原地就业呢，这篇推文解答你[NoProb][NoProb],0.9661016949152542
885,0,【CSSA独家福利】私房川菜优惠多！Swanston酸奶半价？仅限①个月！,╭ ╯╭ ╯╭ ╯               ▍▍▍▍▍▍▍▍ ∴∵∴▄███████████∵∴ ◥█▄▄▄██▄█▄█▄████◤ ∵◥███  干饭人来了！   ███◤∵ ∴∵◥███████████◤∵∴,0.6610169491525424
651,0,【CSSA 小程序迁移与新功能】小程序v1.1的时代到来！,信息部小程序组棒棒棒！！[GoForIt] 现在也在做新功能了！大家可以期待一下,0.423728813559322
586,0,【CSSA推荐】燃梦双创| 第十六届“春晖杯”墨尔本预选赛即将盛大启动！,第十六届“春晖杯”墨尔本预选赛 即将盛大启动，欢迎所有有想法有能力的小伙伴们参与,0.3432203389830508
3112,0,【CSSA研究所】6成墨大学子单身居然跟星座有关？找对象一定要远离这个星座！,,0.9788135593220338
454,0,【CSSA端午活动】联合活动预告 | “浓情端午，四史相传” 墨尔本留学生线上知识竞赛活动,又到端午季，三校学联陪你过端午学四史啦点击推送回答端午小知识，就有机会获得粽子和香囊噢速速答题参加活动吧,0.22033898305084745
448,1,【CSSA联合活动】“情暖华夏 百年颂歌”,庆百年华诞，颂欢庆之歌。墨尔本地区三校学联诚邀同学们参与艺术作品征集活动。投稿不仅可以获得精美礼品，优秀作品也将参与最终展示环节哦。快来表达你最真挚的祝福吧,0.211864406779661
819,0,【CSSA推荐】返场福利来了! 即将缴费的同学们请查收。,【CSSA推荐】新学期就要开始啦记得使用【汇元通】缴学费墨大官方认证缴费平台：付款迅速到账，现在还享受超优汇率哦！,0.6059322033898306
4421,0,【CSSA推荐】墨大留学生，今年赚大了！,【CSSA推荐】墨大er，看到这篇文章的你们赚大发了！商科、理科、文科求职宝典在里[NoProb][NoProb]/:strong,0.9915254237288136
